pcode,county,year_month,rfq_mean,rfq_min,price_beans,price_maize,conflict_events,conflict_fatalities,mpi,vulnerability_tier,total_population
KE030,Baringo,2015-01,51.303447,40.07805,104.0,42.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-02,70.0810905,37.89491,107.0,47.0,3,55,0.2159,Medium,666750
KE030,Baringo,2015-03,38.906944333333335,33.631344,112.0,38.0,1,1,0.2159,Medium,666750
KE030,Baringo,2015-04,130.02314416666667,77.91948,105.0,42.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-05,86.04917266666666,55.420036,106.0,45.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-06,100.16669666666667,56.11511,113.0,45.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-07,68.36425799999999,52.246094,105.0,44.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-08,40.430967,28.921307,102.0,46.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-09,74.14223,54.79602,102.0,44.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-10,97.5050425,62.29318,103.0,37.0,0,0,0.2159,Medium,666750
KE030,Baringo,2015-11,136.33486166666668,78.44727,94.0,39.0,1,1,0.2159,Medium,666750
KE030,Baringo,2015-12,134.9299035,55.640633,101.0,41.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-01,135.7684416666667,64.84341,108.0,41.0,2,4,0.2159,Medium,666750
KE030,Baringo,2016-02,66.41490433333333,41.0218,97.0,39.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-03,72.27364433333334,31.079441,96.0,40.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-05,134.99731483333332,55.013596,97.0,43.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-06,96.21034933333333,65.32533,90.0,39.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-07,106.32099066666666,86.44241,103.0,41.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-08,71.52773833333333,41.194397,94.0,41.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-09,85.00031066666666,44.584846,90.0,37.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-10,86.431288,58.153133,98.0,43.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-11,77.75022299999999,46.474434,123.0,48.0,0,0,0.2159,Medium,666750
KE030,Baringo,2016-12,46.15364983333333,31.138336,106.0,48.0,0,0,0.2159,Medium,666750
KE030,Baringo,2017-01,82.61317883333334,42.901413,108.0,55.0,0,0,0.2159,Medium,666750
KE030,Baringo,2017-02,116.36245000000001,54.83712,112.0,52.0,6,16,0.2159,Medium,666750
KE030,Baringo,2017-03,49.686126333333334,34.355957,114.0,57.0,3,0,0.2159,Medium,666750
KE030,Baringo,2017-04,53.19002333333333,27.996904,127.0,62.0,1,5,0.2159,Medium,666750
KE030,Baringo,2017-05,93.11932916666666,72.62243,138.0,73.0,1,1,0.2159,Medium,666750
KE030,Baringo,2017-06,63.85023783333333,50.71759,129.0,81.0,3,6,0.2159,Medium,666750
KE030,Baringo,2017-07,197.34154,142.72466,118.0,58.0,0,0,0.2159,Medium,666750
KE030,Baringo,2017-08,130.20745916666667,70.254135,120.0,52.0,5,15,0.2159,Medium,666750
KE030,Baringo,2017-09,159.57490566666667,118.791214,104.0,53.0,1,5,0.2159,Medium,666750
KE030,Baringo,2017-10,165.50208816666665,64.029785,108.0,53.0,1,0,0.2159,Medium,666750
KE030,Baringo,2017-11,118.79636966666668,59.47541,121.0,50.0,4,15,0.2159,Medium,666750
KE030,Baringo,2017-12,55.02137583333333,42.95903,120.0,48.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-01,55.526736166666666,39.113968,106.0,52.0,1,1,0.2159,Medium,666750
KE030,Baringo,2018-02,58.494530499999996,42.069073,111.0,53.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-03,213.87567633333333,62.288292,112.0,52.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-04,229.07500833333333,172.13477,113.0,43.0,5,14,0.2159,Medium,666750
KE030,Baringo,2018-05,213.179335,182.59518,105.0,44.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-06,224.35894833333336,148.64166,108.0,40.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-07,89.00190566666667,47.51243,98.0,42.0,0,0,0.2159,Medium,666750
KE030,Baringo,2018-08,81.0005335,41.759193,100.0,38.0,1,0,0.2159,Medium,666750
KE030,Baringo,2018-09,66.95922933333333,54.161842,103.0,36.0,2,3,0.2159,Medium,666750
KE030,Baringo,2018-10,80.31643733333333,52.764053,103.0,33.0,5,6,0.2159,Medium,666750
KE030,Baringo,2018-11,51.280625500000006,35.680286,105.0,35.0,1,1,0.2159,Medium,666750
KE030,Baringo,2018-12,140.59629116666667,48.283627,107.0,36.0,2,2,0.2159,Medium,666750
KE030,Baringo,2019-01,70.00056666666667,54.33944,109.0,36.0,1,1,0.2159,Medium,666750
KE030,Baringo,2019-02,55.89960616666667,40.249126,111.0,,2,7,0.2159,Medium,666750
KE030,Baringo,2019-03,54.52422266666667,32.530384,111.0,,0,0,0.2159,Medium,666750
KE030,Baringo,2019-04,69.701753,27.046204,117.0,44.0,0,0,0.2159,Medium,666750
KE030,Baringo,2019-05,68.47545050000001,27.933607,105.0,52.0,2,1,0.2159,Medium,666750
KE030,Baringo,2019-06,166.791714,80.20619,121.0,51.0,0,0,0.2159,Medium,666750
KE030,Baringo,2019-07,117.21352566666667,66.54163,139.2,55.7,0,0,0.2159,Medium,666750
KE030,Baringo,2019-08,120.65590000000002,77.88826,126.3,54.6,0,0,0.2159,Medium,666750
KE030,Baringo,2019-09,125.9896025,75.11827,113.0,46.5,0,0,0.2159,Medium,666750
KE030,Baringo,2019-10,180.49038,141.71205,109.0,44.0,2,3,0.2159,Medium,666750
KE030,Baringo,2019-11,145.34315,59.944355,108.0,44.0,2,4,0.2159,Medium,666750
KE030,Baringo,2019-12,227.5072591666667,77.52823,115.0,46.0,1,1,0.2159,Medium,666750
KE030,Baringo,2020-01,142.30940633333333,61.790108,124.0,46.0,1,1,0.2159,Medium,666750
KE030,Baringo,2020-02,105.05963366666667,56.475216,111.0,47.3,2,3,0.2159,Medium,666750
KE030,Baringo,2020-03,193.82829566666666,75.070114,114.2,48.5,1,0,0.2159,Medium,666750
KE030,Baringo,2020-04,173.68947266666666,27.030615,121.51,51.7,3,1,0.2159,Medium,666750
KE030,Baringo,2020-05,104.423785,76.25155,125.2,52.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-06,175.40119166666668,139.88501,131.9,51.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-07,173.42142333333334,139.61327,126.0,47.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-08,162.413674,114.919044,120.0,41.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-09,154.89017833333332,115.98945,107.0,39.0,1,0,0.2159,Medium,666750
KE030,Baringo,2020-10,142.01844833333334,70.97093,114.0,39.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-11,132.472833,78.445274,117.0,39.0,0,0,0.2159,Medium,666750
KE030,Baringo,2020-12,58.7083815,46.402664,114.0,40.0,1,1,0.2159,Medium,666750
KE030,Baringo,2023-12,52.614279833333335,48.596222,155.33333333333334,82.5,0,0,0.2159,Medium,666750
KE030,Baringo,2024-03,76.09281066666667,34.817,177.2,82.66666666666667,10,4,0.2159,Medium,666750
KE030,Baringo,2025-03,166.59995833333332,124.97633,145.0,53.0,6,2,0.2159,Medium,666750
KE007,Garissa,2015-01,82.197259,70.54046,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2015-02,95.20104166666665,89.58728,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2015-03,111.40006233333334,48.819153,,65.0,3,153,0.291,Medium,841319
KE007,Garissa,2015-04,131.98280333333332,75.53761,,65.0,1,0,0.291,Medium,841319
KE007,Garissa,2015-05,93.301878,56.795788,,60.0,4,20,0.291,Medium,841319
KE007,Garissa,2015-06,86.563191,55.29035,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2015-07,91.971571,82.624146,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2015-08,103.89751733333333,95.44648,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2015-09,96.27411083333334,73.86389,,50.0,1,3,0.291,Medium,841319
KE007,Garissa,2015-10,91.95362216666666,44.176647,,50.0,3,0,0.291,Medium,841319
KE007,Garissa,2015-11,150.74128166666665,104.09224,,50.0,3,1,0.291,Medium,841319
KE007,Garissa,2015-12,89.54520916666667,50.42612,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2016-01,101.02548933333334,78.35665,,50.0,1,4,0.291,Medium,841319
KE007,Garissa,2016-02,111.12305250000001,98.27566,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2016-03,63.29829633333333,29.572672,,50.0,1,4,0.291,Medium,841319
KE007,Garissa,2016-05,82.05503433333332,39.822853,,51.0,1,10,0.291,Medium,841319
KE007,Garissa,2016-06,86.179013,66.36177,,60.0,1,1,0.291,Medium,841319
KE007,Garissa,2016-07,83.86512950000001,51.556797,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2016-08,93.31559933333334,80.44335,,50.0,0,0,0.291,Medium,841319
KE007,Garissa,2016-09,86.47718533333334,58.854122,,50.0,2,7,0.291,Medium,841319
KE007,Garissa,2016-10,41.946836,21.743628,,55.0,1,4,0.291,Medium,841319
KE007,Garissa,2016-11,98.07866033333335,50.944458,,55.0,1,0,0.291,Medium,841319
KE007,Garissa,2016-12,67.10016816666666,31.479534,,55.0,0,0,0.291,Medium,841319
KE007,Garissa,2017-01,97.92439333333334,82.99077,,55.0,0,0,0.291,Medium,841319
KE007,Garissa,2017-02,101.52506716666666,91.825134,,55.0,2,3,0.291,Medium,841319
KE007,Garissa,2017-03,52.40812616666667,30.120579,,59.0,3,4,0.291,Medium,841319
KE007,Garissa,2017-04,101.4191525,64.88502,,60.0,0,0,0.291,Medium,841319
KE007,Garissa,2017-05,120.26034483333332,64.28014,,50.0,7,25,0.291,Medium,841319
KE007,Garissa,2017-06,106.64473666666667,80.25124,,60.0,2,0,0.291,Medium,841319
KE007,Garissa,2017-07,80.79745666666666,57.916786,,60.0,3,20,0.291,Medium,841319
KE007,Garissa,2017-08,105.06961416666667,91.91985,,65.0,2,0,0.291,Medium,841319
KE007,Garissa,2017-09,104.75898416666666,67.72174,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2017-10,76.14555283333334,34.02708,,65.0,2,0,0.291,Medium,841319
KE007,Garissa,2017-11,89.83495416666666,34.070465,,65.0,2,0,0.291,Medium,841319
KE007,Garissa,2017-12,34.8598335,22.644402,,65.0,3,5,0.291,Medium,841319
KE007,Garissa,2018-01,82.88178333333333,68.349976,,65.0,2,2,0.291,Medium,841319
KE007,Garissa,2018-02,100.74885433333334,94.649956,,65.0,1,5,0.291,Medium,841319
KE007,Garissa,2018-03,261.49379833333336,122.56181,,65.0,1,0,0.291,Medium,841319
KE007,Garissa,2018-04,154.8203425,86.808495,,80.0,0,0,0.291,Medium,841319
KE007,Garissa,2018-05,144.58732733333335,82.6678,,60.0,0,0,0.291,Medium,841319
KE007,Garissa,2018-06,149.42124,91.27491,,60.0,3,0,0.291,Medium,841319
KE007,Garissa,2018-07,108.2523575,104.11799,,60.0,1,0,0.291,Medium,841319
KE007,Garissa,2018-08,100.17414000000001,84.28362,,60.0,1,2,0.291,Medium,841319
KE007,Garissa,2018-09,99.78022983333334,74.81188,,60.0,0,0,0.291,Medium,841319
KE007,Garissa,2018-10,92.75698599999998,54.021145,,60.0,1,0,0.291,Medium,841319
KE007,Garissa,2018-11,43.45599133333334,25.459295,,60.0,1,1,0.291,Medium,841319
KE007,Garissa,2018-12,186.55611666666667,81.97613,,60.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-01,114.1698655,96.694305,,65.0,1,0,0.291,Medium,841319
KE007,Garissa,2019-02,114.62735316666665,100.20981,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-03,49.358092,34.65683,,65.0,1,2,0.291,Medium,841319
KE007,Garissa,2019-04,77.14388683333333,27.254633,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-05,90.36705733333334,68.71567,,65.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-06,75.32232433333333,50.5533,,67.0,2,3,0.291,Medium,841319
KE007,Garissa,2019-07,130.3251465,90.342514,,68.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-08,107.27162333333332,90.98313,,68.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-09,128.98579766666668,69.36096,,68.0,2,3,0.291,Medium,841319
KE007,Garissa,2019-10,256.748225,148.77217,,67.0,0,0,0.291,Medium,841319
KE007,Garissa,2019-11,202.627505,53.43361,,68.0,2,1,0.291,Medium,841319
KE007,Garissa,2019-12,153.54634,106.03034,,68.0,3,20,0.291,Medium,841319
KE007,Garissa,2020-04,166.65148266666668,66.59816,,68.0,3,6,0.291,Medium,841319
KE007,Garissa,2020-05,80.67207416666666,68.34805,,68.0,1,0,0.291,Medium,841319
KE007,Garissa,2020-06,90.93914333333333,56.95644,,68.0,0,0,0.291,Medium,841319
KE007,Garissa,2020-07,220.75805833333334,182.06754,,68.0,3,9,0.291,Medium,841319
KE007,Garissa,2020-08,101.62587833333333,84.32435,,68.0,4,2,0.291,Medium,841319
KE007,Garissa,2020-09,87.49300916666668,68.94622,,70.0,0,0,0.291,Medium,841319
KE007,Garissa,2020-10,61.99919166666666,33.248585,,70.0,0,0,0.291,Medium,841319
KE007,Garissa,2020-11,61.9640805,32.292637,,70.0,2,4,0.291,Medium,841319
KE007,Garissa,2020-12,82.36334116666667,30.944761,,70.0,1,4,0.291,Medium,841319
KE007,Garissa,2023-12,185.05569466666665,38.397278,174.33333333333334,100.4,8,12,0.291,Medium,841319
KE007,Garissa,2024-03,82.29370233333333,51.342415,165.55555555555554,96.72727272727273,5,2,0.291,Medium,841319
KE007,Garissa,2024-06,78.96864133333334,49.969994,162.44444444444446,87.0,2,0,0.291,Medium,841319
KE007,Garissa,2024-09,79.58040833333334,56.38541,164.0,89.57142857142857,7,15,0.291,Medium,841319
KE007,Garissa,2025-03,156.15032766666664,84.128136,125.0,81.0,6,11,0.291,Medium,841319
KE007,Garissa,2025-06,170.50325833333332,119.51042,130.0,63.0,0,0,0.291,Medium,841319
KE007,Garissa,2025-09,96.54418,64.12729,118.33333333333333,65.0,1,0,0.291,Medium,841319
KE007,Garissa,2025-12,89.502784,38.927624,108.66666666666667,60.0,7,17,0.291,Medium,841319
KE011,Isiolo,2023-12,68.52464733333333,39.256626,198.42857142857142,102.77777777777777,2,1,0.1962,Medium,267993
KE011,Isiolo,2024-03,48.40076200000001,41.717667,173.28571428571428,84.8,1,1,0.1962,Medium,267993
KE011,Isiolo,2024-06,95.98217,92.59285,160.41666666666666,85.42857142857143,1,0,0.1962,Medium,267993
KE011,Isiolo,2024-09,97.54697,92.7476,135.14285714285714,81.27272727272727,2,3,0.1962,Medium,267993
KE011,Isiolo,2025-06,97.94051133333335,96.10456,,116.0,2,2,0.1962,Medium,267993
KE011,Isiolo,2025-12,70.844901,43.807693,111.5,80.66666666666667,6,6,0.1962,Medium,267993
KE034,Kajiado,2015-01,35.88058266666667,33.40801,87.3,41.1,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-02,85.01372400000001,46.004906,81.9,40.2,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-03,59.60012866666667,35.950836,82.2,41.5,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-04,146.72206,134.90411,85.0,41.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-05,117.49710466666666,91.56408,90.0,44.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-06,98.83541833333334,93.136925,95.0,50.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-07,104.33555133333334,100.76219,96.0,50.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-08,94.47438333333334,91.977264,91.0,46.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-09,93.948108,89.2,94.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-10,104.52468533333332,98.83083,96.0,50.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-11,151.25672,110.81786,96.67,51.25,0,0,0.1108,Low,1117802
KE034,Kajiado,2015-12,126.01442666666668,36.84747,91.07,48.33,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-01,170.161485,59.565735,73.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-02,76.09042366666667,50.497787,73.0,47.5,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-03,64.08261466666667,25.951284,79.17,48.33,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-05,98.22553,82.83086,83.0,47.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-06,100.03308666666668,96.12388,80.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-07,95.22187333333333,94.12908,80.0,44.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-08,98.91607499999999,95.84073,83.0,44.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-09,95.29458166666666,93.435425,87.0,43.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-10,86.39289500000001,70.97217,92.0,46.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-11,115.42725,76.22761,94.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2016-12,45.769405,35.6656,94.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-01,55.951327666666664,41.174107,91.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-02,83.06139,57.52346,97.0,52.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-03,46.20124833333333,42.197598,91.1,54.4,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-04,61.879784666666666,45.238304,130.0,65.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-05,82.95591133333333,70.511024,120.0,65.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-06,94.71068666666667,82.25663,125.0,65.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-07,108.27018166666666,106.321655,120.0,65.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-08,108.567695,103.79959,130.0,68.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-09,103.85531666666667,94.87349,135.0,70.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-10,99.96245666666665,75.1855,139.0,73.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-11,98.15805033333334,69.30976,140.0,75.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2017-12,40.76149733333333,31.40405,120.0,60.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-01,122.33109333333334,52.54755,119.0,60.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-02,68.80295566666668,50.008057,100.0,60.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-03,261.61845666666665,37.92104,95.0,55.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-04,213.70272333333332,102.78456,100.0,50.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-05,152.14280666666664,113.09099,80.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-06,113.86567500000001,111.84836,80.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-07,106.56300333333333,104.2937,77.0,43.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-08,109.98115666666666,101.28769,72.0,40.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-09,104.24339200000001,100.712326,71.0,40.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-10,99.61245333333333,79.791,75.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-11,75.09667499999999,65.23704,78.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2018-12,180.49809666666667,57.43292,84.0,48.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-01,55.92254766666667,49.062298,91.0,43.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-02,75.39931333333332,54.45901,92.0,45.0,1,1,0.1108,Low,1117802
KE034,Kajiado,2019-03,29.415577666666668,22.113775,90.0,49.0,1,0,0.1108,Low,1117802
KE034,Kajiado,2019-04,85.04112366666666,29.787886,104.0,52.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-05,74.231,52.23046,103.0,54.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-06,124.04388666666667,90.23919,94.0,52.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-07,111.63088333333333,106.97044,99.4,54.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-08,110.23617533333334,97.02229,100.2,60.8,1,1,0.1108,Low,1117802
KE034,Kajiado,2019-09,113.74955533333333,103.696396,105.6,55.4,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-10,295.17805333333337,213.40477,92.0,49.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-11,180.82428333333334,58.62143,88.0,45.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2019-12,265.1617233333333,81.90227,105.0,46.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2020-01,221.80178133333334,76.676384,91.0,53.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2020-02,142.67378466666665,46.350594,93.0,50.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2020-03,173.239568,58.422684,100.0,47.0,0,0,0.1108,Low,1117802
KE034,Kajiado,2020-04,172.65586,61.35347,105.0,54.0,1,1,0.1108,Low,1117802
KE034,Kajiado,2020-05,81.38707733333332,54.375862,104.0,53.0,0,0,0.1108,Low,1117802
